ANYO_ACADEMICO;COD_EOI;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_NIVEL;DESC_NIVEL;CURSO;IDIOMA;NUM_GRUPOS;NUM_ALUMNOS
2021;03011136;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;A2;NIVEL BÁSICO;1;ALEMÁN;5;139
2021;03011136;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;A2;NIVEL BÁSICO;1;CHINO;3;52
2021;03011136;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;A2;NIVEL BÁSICO;1;ESPAÑOL COMO LENGUA EXTRANJERA;5;176
2021;03011136;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;A2;NIVEL BÁSICO;1;EUSKERA;1;10
2021;03011136;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;A2;NIVEL BÁSICO;1;FRANCÉS;9;227
2021;03011136;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;A2;NIVEL BÁSICO;1;INGLÉS;13;367
2021;03011136;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;A2;NIVEL BÁSICO;1;ITALIANO;4;114
2021;03011136;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;A2;NIVEL BÁSICO;1;JAPONÉS;1;36
2021;03011136;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;A2;NIVEL BÁSICO;1;PORTUGUÉS;3;34
2021;03011136;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;A2;NIVEL BÁSICO;1;RUSO;3;45
2021;03011136;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;A2;NIVEL BÁSICO;1;THAT'S ENGLISH;1;38
2021;03011136;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;A2;NIVEL BÁSICO;1;VALENCIANO;2;69
2021;03011136;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;A2;NIVEL BÁSICO;1;ÁRABE;3;39
2021;03011136;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;A2;NIVEL BÁSICO;2;ALEMÁN;4;69
2021;03011136;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;A2;NIVEL BÁSICO;2;CHINO;1;25
2021;03011136;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;A2;NIVEL BÁSICO;2;ESPAÑOL COMO LENGUA EXTRANJERA;3;73
2021;03011136;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;A2;NIVEL BÁSICO;2;EUSKERA;1;8
